city,temperature,humidity,weather,datetime
Chennai,30.47,80,Clouds,2025-08-07T15:38:50.414580
Coimbatore,25.65,86,Clouds,2025-08-07T15:38:50.414630
Madurai,27.67,77,Clouds,2025-08-07T15:38:50.414652
Tiruchirappalli,29.58,65,Clouds,2025-08-07T15:38:50.414663
Tirunelveli,28.78,64,Clouds,2025-08-07T15:38:50.414671
Salem,28.18,74,Clouds,2025-08-07T15:38:50.414681
Erode,27.58,77,Clouds,2025-08-07T15:38:50.414689
Vellore,29.71,69,Clouds,2025-08-07T15:38:50.414697
Dindigul,26.46,84,Rain,2025-08-07T15:38:50.414705
Cuddalore,29.84,76,Clouds,2025-08-07T15:38:50.414714
Thanjavur,29.13,72,Clouds,2025-08-07T15:38:50.414722
Thoothukudi,29.23,67,Clouds,2025-08-07T15:38:50.414729
Karur,27.81,73,Clouds,2025-08-07T15:38:50.414737
Kanniyākumāri,26.1,83,Clouds,2025-08-07T15:38:50.414745
Krishnagiri,27.54,70,Clouds,2025-08-07T15:38:50.414753
Namakkal,27.06,81,Clouds,2025-08-07T15:38:50.414761
Ramanathapuram,28.22,76,Clouds,2025-08-07T15:38:50.414769
Tirupur,26.3,84,Clouds,2025-08-07T15:38:50.414777
Thiruvarur,28.03,79,Clouds,2025-08-07T15:38:50.414784
Pudukkottai,28.09,78,Clouds,2025-08-07T15:38:50.414792
